1641297139.0
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.26,-1.18,0.39
1641297160.0,S3:,0.97,-0.01,-0.09
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.31,-0.90,0.17
1641297160.0,S3:,1.04,0.01,-0.18
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,-0.28,-1.16,0.12
1641297160.0,S3:,1.02,0.02,-0.12
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.27,-1.01,0.35
1641297160.0,S3:,1.02,-0.03,-0.18
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.19,-0.87,0.02
1641297160.0,S3:,1.02,0.03,-0.15
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.26,-1.20,0.36
1641297160.0,S3:,0.97,-0.03,-0.11
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.22,-0.91,0.20
1641297160.0,S3:,1.03,0.01,-0.16
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,-0.29,-1.08,0.04
1641297160.0,S3:,1.03,-0.01,-0.15
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.60,-1.08,0.41
1641297160.0,S3:,1.03,-0.03,-0.17
1641297160.0,S1:,0.00,0.00,0.00
1641297161.0,S2:,-0.40,-1.01,-0.09
1641297161.0,S3:,1.03,0.03,-0.12
1641297161.0,S1:,0.00,0.00,0.00
1641297161.0,S2:,0.35,-1.24,0.35
1641297161.0,S3:,1.00,-0.03,-0.11
1641297161.0,S1:,0.00,0.00,0.00
1641297161.0,S2:,0.25,-0.87,0.07
1641297161.0,S3:,1.01,0.00,-0.14
1641297161.0,S1:,0.00,0.00,0.00
1641297161.0,S2:,-0.59,-0.95,-0.11
1641297161.0,S3:,1.02,0.01,-0.14
1641297161.0,S1:,0.00,0.00,0.00
1641297161.0,S2:,0.32,-0.97,0.30
1641297161.0,S3:,1.02,-0.03,-0.16
1641297161.0,S1:,0.00,0.00,0.00
1641297161.0,S2:,-0.09,-1.02,0.01
1641297161.0,S3:,1.01,0.04,-0.14
1641297161.0,S1:,0.00,0.00,0.00
1641297161.0,S2:,0.36,-1.12,0.35
1641297161.0,S3:,1.01,-0.02,-0.14
1641297161.0,S1:,0.00,0.00,0.00
1641297161.0,S2:,0.20,-0.88,0.10
1641297161.0,S3:,1.02,0.02,-0.16
1641297161.0,S1:,0.00,0.00,0.00
1641297161.0,S2:,0.14,-1.27,0.26
1641297161.0,S3:,1.03,0.02,-0.14
1641297161.0,S1:,0.00,0.00,0.00
1641297161.0,S2:,0.43,-0.96,0.33
1641297161.0,S3:,1.02,-0.03,-0.18
1641297161.0,S1:,0.00,0.00,0.00
1641297161.0,S2:,-0.05,-0.95,-0.03
1641297161.0,S3:,1.02,0.04,-0.14
1641297161.0,S1:,0.00,0.00,0.00
1641297161.0,S2:,0.22,-1.15,0.35
1641297161.0,S3:,0.99,-0.04,-0.12
1641297161.0,S1:,0.00,0.00,0.00
1641297161.0,S2:,0.31,-0.97,0.19
1641297161.0,S3:,1.01,0.01,-0.15
1641297161.0,S1:,0.00,0.00,0.00
1641297161.0,S2:,-0.10,-1.15,0.11
1641297161.0,S3:,1.02,0.01,-0.15
1641297161.0,S1:,0.00,0.00,0.00
1641297161.0,S2:,0.53,-1.04,0.48
1641297161.0,S3:,1.02,-0.03,-0.18
1641297161.0,S1:,0.00,0.00,0.00
1641297161.0,S2:,-0.67,-0.97,-0.21
1641297161.0,S3:,1.02,0.04,-0.12
1641297161.0,S1:,0.00,0.00,0.00
1641297161.0,S2:,0.46,-1.22,0.39
1641297161.0,S3:,0.99,-0.04,-0.10
1641297161.0,S1:,0.00,0.00,0.00
1641297161.0,S2:,0.20,-0.02,-0.02
1641297161.0,S3:,1.05,0.02,-0.18
1641297161.0,S1:,0.00,0.00,0.00
1641297161.0,S2:,-0.49,-0.96,-0.08
1641297161.0,S3:,1.02,0.01,-0.14
1641297161.0,S1:,0.00,0.00,0.00
1641297161.0,S2:,0.19,-0.91,-0.02
1641297161.0,S3:,1.00,-0.02,-0.16
1641297161.0,S1:,0.00,0.00,0.00
1641297161.0,S2:,-0.60,-0.97,-0.17
1641297161.0,S3:,1.03,0.04,-0.12
