 Time ,Sensor,X-Axis,Y-Axis,Z-Axis
1641807871396.00,S3:,0.13,-1,0.15
1641807871408.00,S3:,0.12,-1,0.15
1641807871420.00,S3:,0.13,-1,0.14
1641807871433.00,S3:,0.12,-1,0.14
1641807871445.00,S3:,0.12,-1,0.15
1641807871457.00,S3:,0.12,-1,0.15
1641807871469.00,S3:,0.13,-1,0.15
1641807871481.00,S3:,0.12,-1,0.14
1641807871494.00,S3:,0.13,-1,0.14
1641807871506.00,S3:,0.12,-1,0.14
1641807871518.00,S3:,0.12,-1,0.15
1641807871530.00,S3:,0.12,-1,0.14
1641807871542.00,S3:,0.13,-1,0.15
1641807871554.00,S3:,0.12,-1,0.15
1641807871567.00,S3:,0.12,-1,0.14
1641807871579.00,S3:,0.12,-1,0.15
1641807871591.00,S3:,0.13,-1,0.14
1641807871603.00,S3:,0.12,-1,0.14
1641807871615.00,S3:,0.13,-1,0.14
1641807871627.00,S3:,0.13,-1,0.15
1641807871639.00,S3:,0.12,-1,0.15
1641807871652.00,S3:,0.13,-1,0.14
1641807871664.00,S3:,0.12,-1,0.14
1641807871676.00,S3:,0.13,-1,0.15
1641807871689.00,S3:,0.13,-1,0.14
1641807871701.00,S3:,0.12,-0.99,0.14
1641807871713.00,S3:,0.12,-1,0.15
1641807871725.00,S3:,0.12,-1,0.14
1641807871737.00,S3:,0.13,-1,0.14
1641807871749.00,S3:,0.12,-1,0.15
1641807871762.00,S3:,0.13,-1,0.14
1641807871774.00,S3:,0.13,-1,0.14
1641807871786.00,S3:,0.13,-1,0.14
1641807871800.00,S3:,0.12,-1,0.15
1641807871810.00,S3:,0.13,-1,0.15
1641807871822.00,S3:,0.13,-1,0.14
1641807871834.00,S3:,0.13,-1,0.15
1641807871847.00,S3:,0.12,-1,0.14
1641807871859.00,S3:,0.13,-1,0.15
1641807871870.00,S3:,0.13,-1.01,0.14
1641807871883.00,S3:,0.13,-1,0.15
1641807871896.00,S3:,0.12,-1,0.14
1641807871908.00,S3:,0.13,-1,0.15
1641807871920.00,S3:,0.13,-1,0.13
1641807871932.00,S3:,0.13,-1,0.14
1641807871944.00,S3:,0.12,-1,0.14
1641807871956.00,S3:,0.12,-1,0.15
1641807871968.00,S3:,0.13,-1,0.15
1641807871980.00,S3:,0.13,-1,0.15
1641807871992.00,S3:,0.13,-1,0.14
1641807872004.00,S3:,0.12,-0.99,0.14
1641807872017.00,S3:,0.12,-1,0.14
1641807872029.00,S3:,0.13,-1,0.14
1641807872041.00,S3:,0.13,-1,0.15
1641807872053.00,S3:,0.12,-1,0.14
1641807872065.00,S3:,0.14,-1,0.15
1641807872078.00,S3:,0.12,-1,0.14
1641807872090.00,S3:,0.13,-1,0.14
1641807872102.00,S3:,0.12,-1,0.14
1641807872114.00,S3:,0.13,-1,0.15
1641807872127.00,S3:,0.12,-1,0.14
1641807872139.00,S3:,0.13,-1,0.14
1641807872151.00,S3:,0.12,-1,0.13
1641807872163.00,S3:,0.13,-1,0.13
1641807872175.00,S3:,0.13,-1,0.14
1641807872187.00,S3:,0.12,-1,0.14
1641807872199.00,S3:,0.12,-1,0.14
1641807872212.00,S3:,0.13,-0.99,0.15
1641807872224.00,S3:,0.13,-1,0.15
1641807872236.00,S3:,0.12,-1.01,0.14
1641807872249.00,S3:,0.13,-0.99,0.14
1641807872259.00,S3:,0.13,-1,0.14
1641807872272.00,S3:,0.13,-0.99,0.14
1641807872285.00,S3:,0.12,-1,0.14
1641807872296.00,S3:,0.12,-1,0.15
1641807872327.00,S3:,0.12,-1,0.14
1641807872332.00,S3:,0.13,-1,0.14
1641807872336.00,S3:,0.12,-1,0.14
1641807872346.00,S3:,0.12,-1,0.15
1641807872358.00,S3:,0.12,-1,0.14
1641807872370.00,S3:,0.12,-1,0.15
1641807872382.00,S3:,0.12,-1,0.14
1641807872394.00,S3:,0.13,-1,0.14
1641807872406.00,S3:,0.13,-1.01,0.15
1641807872419.00,S3:,0.12,-1,0.14
1641807872431.00,S3:,0.13,-1,0.14
1641807872443.00,S3:,0.13,-0.99,0.15
1641807872455.00,S3:,0.13,-1,0.15
1641807872467.00,S3:,0.13,-1,0.15
1641807872479.00,S3:,0.13,-1,0.14
1641807872492.00,S3:,0.12,-1,0.14
1641807872504.00,S3:,0.13,-1,0.15
